id_merging;key_start;key_followup;key_final;type_final
int;str;str;str;str
0;handedness;;demo_handedness;int
0;institution;;demo_institution;int
0;state;;demo_state;int
0;intellectual_disability;;demo_intellectual_disability;bool
0;psych_hx;;demo_psychiatric_history;bool
0;psychiatric_dx___;;demo_psychiatric_diagnosis;list_int
0;age_of_onset;;age_of_onset;int
0;epilepsy_type;;type_epilepsy;int
0;focal_lesional;;type_focal_lesional;int
0;focal_aetiology;;type_focal_aetiology;int
0;multifocal;;type_multifocal;bool
0;aetiology_generalised;;type_generalised_aetiology;int
0;generalised_type___;;type_generalised_seizures;list_int
0;refractory;;type_refractory;bool
0;refractory_onset;;type_refractory_onset;bool
0;vns_ever;;type_vns_history;bool
0;epilepsy_surgery;;type_surgery_history;bool
0;epilepsy_surg_type;;type_surgery_details;int
0;study_start_date;review_date;date_of_visit;date
2;frequ_focal_aware;frequ_focal_aware_fu;frequ_focal_aware;int
2;frequ_focal_unaware;frequ_focal_unaware_fu;frequ_focal_unaware;int
2;frequ_fbtcs;frequ_fbtcs_fu;frequ_fbtcs;int
2;frequ_gen_tc;frequ_gen_tc_fu;frequ_gen_tc;int
2;frequ_absence;frequ_absence_fu;frequ_absence;int
0;titration_period_ent;;titration_period;int
0;[drug]_dose_ent;;[drug]_dose;int
0;;censor___;study_censor;list_int
3;[drug]_fu_prev___;[drug]_cessation_reason___;[drug]_cessation;list_int
3;brv_fu_prev___;briv_se___;brv_side_effects;list_int
4;;[drug]_fu;[drug]_changes;int
